ano,mes,n1,n2,n3,n4,n5,n6
1996,1,1.0,5.0,6.0,19.0,20.0,51.0
1996,3,4.0,11.0,21.0,23.0,54.0,47.0
1996,4,3.0,5.0,19.0,21.0,38.0,47.0
1996,5,4.0,9.0,19.0,38.0,27.0,43.0
1996,6,8.0,19.0,28.0,45.0,48.0,60.0
1996,7,5.0,10.0,12.0,24.0,25.0,51.0
1996,8,1.0,2.0,6.0,12.0,19.0,56.0
1996,9,3.0,6.0,14.0,24.0,38.0,50.0
1996,10,5.0,13.0,17.0,25.0,29.0,44.0
1996,11,4.0,5.0,22.0,33.0,41.0,52.0
1996,12,2.0,6.0,17.0,24.0,26.0,36.0
1997,1,1.0,5.0,20.0,25.0,32.0,34.0
1997,2,2.0,5.0,11.0,25.0,32.0,40.0
1997,3,2.0,7.0,18.0,21.0,38.0,50.0
1997,4,2.0,8.0,13.0,20.0,44.0,38.0
1997,5,4.0,12.0,16.0,24.0,41.0,47.0
1997,6,1.0,3.0,17.0,27.0,34.0,58.0
1997,7,1.0,3.0,5.0,43.0,24.0,43.0
1997,8,12.0,13.0,15.0,23.0,33.0,46.0
1997,9,3.0,13.0,29.0,35.0,43.0,45.0
1997,10,6.0,15.0,22.0,34.0,36.0,47.0
1997,11,2.0,4.0,10.0,24.0,31.0,52.0
1997,12,2.0,6.0,28.0,25.0,34.0,55.0
1998,1,1.0,4.0,30.0,33.0,32.0,40.0
1998,2,1.0,7.0,9.0,34.0,54.0,55.0
1998,3,21.0,4.0,16.0,24.0,38.0,39.0
1998,4,4.0,7.0,20.0,32.0,42.0,43.0
1998,5,4.0,6.0,14.0,20.0,42.0,38.0
1998,6,1.0,16.0,25.0,37.0,45.0,46.0
1998,7,5.0,15.0,34.0,41.0,46.0,55.0
1998,8,1.0,9.0,10.0,21.0,46.0,39.0
1998,9,4.0,6.0,18.0,34.0,39.0,54.0
1998,10,1.0,13.0,19.0,22.0,26.0,41.0
1998,11,5.0,11.0,14.0,20.0,32.0,58.0
1998,12,6.0,16.0,23.0,41.0,28.0,38.0
1999,1,3.0,12.0,15.0,29.0,39.0,56.0
1999,2,6.0,10.0,24.0,33.0,43.0,44.0
1999,3,2.0,11.0,16.0,35.0,39.0,58.0
1999,4,2.0,7.0,14.0,16.0,24.0,44.0
1999,5,1.0,9.0,21.0,33.0,38.0,48.0
1999,6,1.0,13.0,17.0,42.0,36.0,44.0
1999,7,5.0,3.0,4.0,26.0,27.0,53.0
1999,8,1.0,5.0,10.0,28.0,51.0,60.0
1999,9,7.0,11.0,20.0,25.0,26.0,48.0
1999,10,1.0,10.0,5.0,38.0,41.0,42.0
1999,11,3.0,9.0,12.0,19.0,29.0,43.0
1999,12,1.0,8.0,18.0,23.0,35.0,40.0
2000,1,1.0,2.0,23.0,30.0,32.0,35.0
2000,2,2.0,7.0,19.0,24.0,41.0,55.0
2000,3,5.0,15.0,29.0,40.0,45.0,50.0
2000,4,3.0,18.0,26.0,32.0,41.0,51.0
2000,5,13.0,27.0,36.0,36.0,42.0,49.0
2000,6,2.0,4.0,16.0,20.0,21.0,44.0
2000,7,8.0,13.0,21.0,33.0,39.0,59.0
2000,8,3.0,7.0,22.0,30.0,35.0,45.0
2000,9,6.0,13.0,15.0,37.0,41.0,42.0
2000,10,11.0,6.0,20.0,22.0,28.0,47.0
2000,11,2.0,10.0,23.0,30.0,34.0,46.0
2000,12,4.0,17.0,26.0,34.0,51.0,55.0
2001,1,1.0,19.0,20.0,32.0,30.0,53.0
2001,2,4.0,6.0,18.0,26.0,39.0,47.0
2001,3,1.0,16.0,5.0,19.0,31.0,53.0
2001,4,1.0,8.0,10.0,21.0,32.0,36.0
2001,5,5.0,6.0,7.0,12.0,23.0,35.0
2001,6,4.0,12.0,18.0,40.0,31.0,56.0
2001,7,5.0,23.0,31.0,24.0,30.0,36.0
2001,8,6.0,25.0,11.0,41.0,50.0,57.0
2001,9,1.0,20.0,28.0,33.0,34.0,41.0
2001,10,7.0,11.0,17.0,41.0,37.0,60.0
2001,11,5.0,16.0,22.0,37.0,35.0,56.0
2001,12,1.0,3.0,4.0,21.0,23.0,54.0
2002,1,4.0,4.0,7.0,15.0,35.0,51.0
2002,2,5.0,4.0,9.0,36.0,27.0,48.0
2002,3,1.0,12.0,9.0,26.0,56.0,52.0
2002,4,2.0,16.0,21.0,23.0,40.0,53.0
2002,5,5.0,23.0,27.0,37.0,49.0,52.0
2002,6,1.0,5.0,24.0,24.0,51.0,54.0
2002,7,5.0,22.0,30.0,18.0,53.0,56.0
2002,8,13.0,7.0,15.0,43.0,47.0,54.0
2002,9,7.0,16.0,22.0,12.0,45.0,59.0
2002,10,2.0,12.0,19.0,44.0,47.0,49.0
2002,11,1.0,4.0,29.0,33.0,31.0,58.0
2002,12,1.0,7.0,14.0,21.0,40.0,60.0
2003,1,4.0,10.0,17.0,24.0,39.0,50.0
2003,2,3.0,5.0,11.0,14.0,38.0,57.0
2003,3,8.0,15.0,9.0,32.0,49.0,53.0
2003,4,7.0,17.0,24.0,27.0,33.0,40.0
2003,5,6.0,18.0,7.0,34.0,38.0,53.0
2003,6,3.0,12.0,19.0,36.0,51.0,50.0
2003,7,6.0,13.0,19.0,38.0,42.0,44.0
2003,8,1.0,6.0,15.0,24.0,43.0,57.0
2003,9,1.0,4.0,5.0,36.0,30.0,54.0
2003,10,3.0,5.0,20.0,29.0,30.0,38.0
2003,11,8.0,8.0,10.0,32.0,51.0,35.0
2003,12,8.0,10.0,15.0,44.0,52.0,58.0
2004,1,1.0,13.0,21.0,25.0,53.0,53.0
2004,2,4.0,8.0,11.0,12.0,29.0,41.0
2004,3,4.0,13.0,13.0,28.0,53.0,59.0
2004,4,8.0,14.0,31.0,23.0,45.0,49.0
2004,5,2.0,13.0,14.0,15.0,32.0,58.0
2004,6,6.0,8.0,16.0,29.0,49.0,44.0
2004,7,6.0,18.0,23.0,30.0,39.0,52.0
2004,8,1.0,14.0,18.0,13.0,49.0,59.0
2004,9,4.0,6.0,9.0,23.0,30.0,51.0
2004,10,6.0,6.0,15.0,17.0,34.0,37.0
2004,11,3.0,8.0,10.0,13.0,19.0,55.0
2004,12,12.0,13.0,14.0,22.0,39.0,49.0
2005,1,2.0,11.0,24.0,27.0,42.0,49.0
2005,2,14.0,9.0,40.0,17.0,51.0,60.0
2005,3,9.0,24.0,14.0,41.0,48.0,59.0
2005,4,1.0,6.0,37.0,40.0,51.0,59.0
2005,5,1.0,4.0,18.0,16.0,34.0,58.0
2005,6,3.0,21.0,25.0,32.0,31.0,34.0
2005,7,4.0,5.0,12.0,37.0,40.0,56.0
2005,8,8.0,16.0,13.0,15.0,41.0,51.0
2005,9,1.0,3.0,48.0,22.0,53.0,54.0
2005,10,1.0,7.0,10.0,39.0,51.0,60.0
2005,11,7.0,7.0,16.0,35.0,39.0,53.0
2005,12,1.0,6.0,16.0,26.0,41.0,60.0
2006,1,2.0,7.0,16.0,23.0,50.0,50.0
2006,2,14.0,10.0,26.0,29.0,31.0,41.0
2006,3,1.0,17.0,12.0,21.0,23.0,57.0
2006,4,1.0,15.0,37.0,45.0,32.0,59.0
2006,5,1.0,31.0,24.0,37.0,37.0,42.0
2006,6,3.0,10.0,14.0,29.0,34.0,60.0
2006,7,4.0,8.0,13.0,35.0,42.0,48.0
2006,8,2.0,6.0,19.0,35.0,28.0,56.0
2006,9,1.0,19.0,9.0,21.0,28.0,57.0
2006,10,2.0,4.0,21.0,23.0,46.0,57.0
2006,11,8.0,19.0,21.0,32.0,43.0,44.0
2006,12,6.0,7.0,28.0,42.0,50.0,53.0
2007,1,2.0,16.0,8.0,38.0,44.0,60.0
2007,2,1.0,24.0,34.0,44.0,45.0,57.0
2007,3,2.0,3.0,11.0,44.0,37.0,44.0
2007,4,2.0,8.0,17.0,12.0,19.0,54.0
2007,5,8.0,22.0,36.0,40.0,42.0,52.0
2007,6,4.0,8.0,37.0,25.0,31.0,36.0
2007,7,17.0,15.0,31.0,14.0,47.0,59.0
2007,8,2.0,18.0,22.0,22.0,41.0,59.0
2007,9,2.0,4.0,15.0,16.0,55.0,59.0
2007,10,17.0,22.0,23.0,28.0,38.0,49.0
2007,11,1.0,3.0,17.0,41.0,53.0,57.0
2007,12,4.0,27.0,32.0,33.0,49.0,36.0
2008,1,1.0,6.0,22.0,29.0,31.0,58.0
2008,2,1.0,5.0,32.0,8.0,25.0,59.0
2008,3,1.0,4.0,18.0,24.0,33.0,60.0
2008,4,2.0,30.0,13.0,37.0,33.0,41.0
2008,5,4.0,13.0,20.0,33.0,46.0,45.0
2008,6,3.0,7.0,25.0,27.0,42.0,58.0
2008,7,2.0,9.0,15.0,18.0,29.0,60.0
2008,8,1.0,2.0,21.0,32.0,53.0,52.0
2008,9,4.0,4.0,18.0,33.0,45.0,59.0
2008,10,5.0,9.0,17.0,20.0,51.0,60.0
2008,11,2.0,5.0,28.0,29.0,40.0,53.0
2008,12,1.0,3.0,19.0,33.0,31.0,49.0
2009,1,3.0,20.0,25.0,30.0,36.0,52.0
2009,2,1.0,8.0,16.0,13.0,34.0,57.0
2009,3,1.0,3.0,16.0,15.0,41.0,59.0
2009,4,4.0,10.0,6.0,39.0,43.0,57.0
2009,5,3.0,6.0,9.0,33.0,18.0,37.0
2009,6,5.0,20.0,6.0,40.0,50.0,55.0
2009,7,1.0,23.0,21.0,27.0,41.0,49.0
2009,8,2.0,3.0,6.0,35.0,49.0,42.0
2009,9,3.0,9.0,11.0,36.0,47.0,54.0
2009,10,4.0,6.0,13.0,44.0,20.0,55.0
2009,11,4.0,16.0,19.0,32.0,29.0,30.0
