sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
14-29-30-46-48-51,1998,1,14,29,30,46,48,51,1998-01-02
4-10-17-24-30-54,2003,1,4,10,17,24,30,54,2003-01-02
27-29-43-44-45-54,2006,1,27,29,43,44,45,54,2006-01-02
6-10-12-17-28-53,2012,1,6,10,12,17,28,53,2012-01-02
15-18-24-42-46-56,2014,1,15,18,24,42,46,56,2014-01-02
1-4-13-21-38-52,1998,1,1,4,13,21,38,52,1998-01-03
6-15-23-31-37-59,2003,1,6,15,23,31,37,59,2003-01-03
2-7-17-34-41-50,2006,1,2,7,17,34,41,50,2006-01-03
22-41-44-46-52-54,2008,1,22,41,44,46,52,54,2008-01-03
2-7-13-29-38-43,2012,1,2,7,13,29,38,43,2012-01-03
3-6-30-37-53-56,2014,1,3,6,30,37,53,56,2014-01-03
1-5-6-27-42-59,1996,1,1,5,6,27,42,59,1996-01-04
3-9-23-30-32-35,2000,1,3,9,23,30,32,35,2000-01-04
4-7-20-25-38-50,2006,1,4,7,20,25,38,50,2006-01-04
9-21-23-30-41-56,2009,1,9,21,23,30,41,56,2009-01-04
1-10-24-39-45-58,2015,1,1,10,24,39,45,58,2015-01-04
10-19-23-35-39-56,1999,1,10,19,23,35,39,56,1999-01-05
6-13-17-25-36-53,2004,1,6,13,17,25,36,53,2004-01-05
1-5-20-25-32-34,1997,1,1,5,20,25,32,34,1997-01-06
4-6-7-15-21-51,2002,1,4,6,7,15,21,51,2002-01-06
7-24-27-40-41-49,2005,1,7,24,27,40,41,49,2005-01-06
17-30-32-40-42-56,2011,1,17,30,32,40,42,56,2011-01-06
8-22-26-33-37-54,2013,1,8,22,26,33,37,54,2013-01-06
4-9-21-34-54-59,2016,1,4,9,21,34,54,59,2016-01-06
6-10-13-19-20-51,1996,1,6,10,13,19,20,51,1996-01-07
1-2-38-49-50-59,2000,1,1,2,38,49,50,59,2000-01-07
2-14-23-28-50-56,2006,1,2,14,23,28,50,56,2006-01-07
3-20-28-32-36-46,2009,1,3,20,28,32,36,46,2009-01-07
4-30-31-32-47-53,2015,1,4,30,31,32,47,53,2015-01-07
6-10-11-28-32-40,1998,1,6,10,11,28,32,40,1998-01-08
25-28-34-42-48-54,2001,1,25,28,34,42,48,54,2001-01-08
20-24-34-39-54-60,2007,1,20,24,34,39,54,60,2007-01-08
3-13-14-16-41-52,2009,1,3,13,14,16,41,52,2009-01-08
8-12-32-44-46-48,2012,1,8,12,32,44,46,48,2012-01-08
3-8-28-39-42-59,2015,1,3,8,28,39,42,59,2015-01-08
10-22-50-53-57-58,1996,1,10,22,50,53,57,58,1996-01-09
13-23-24-34-45-53,2001,1,13,23,24,34,45,53,2001-01-09
10-13-29-47-53-55,2004,1,10,13,29,47,53,55,2004-01-09
3-4-8-30-45-54,2007,1,3,4,8,30,45,54,2007-01-09
3-7-9-10-31-34,2010,1,3,7,9,10,31,34,2010-01-09
19-31-39-44-53-59,2012,1,19,31,39,44,53,59,2012-01-09
16-27-28-34-39-56,2003,1,16,27,28,34,39,56,2003-01-10
2-11-24-27-30-45,2005,1,2,11,24,27,30,45,2005-01-10
1-6-12-29-34-58,2008,1,1,6,12,29,34,58,2008-01-10
18-29-31-44-51-57,2011,1,18,29,31,44,51,57,2011-01-10
2-6-18-23-31-46,2014,1,2,6,18,23,31,46,2014-01-10
1-4-30-41-45-58,2003,1,1,4,30,41,45,58,2003-01-11
11-13-38-39-54-57,2006,1,11,13,38,39,54,57,2006-01-11
9-24-44-51-55-58,2008,1,9,24,44,51,55,58,2008-01-11
2-21-30-35-45-50,2013,1,2,21,30,35,45,50,2013-01-11
24-33-38-42-44-54,2014,1,24,33,38,42,44,54,2014-01-11
12-16-37-45-52-56,1996,1,12,16,37,45,52,56,1996-01-12
3-19-20-31-40-53,2001,1,3,19,20,31,40,53,2001-01-12
1-3-13-22-29-32,2004,1,1,3,13,22,29,32,2004-01-12
2-20-21-27-51-60,2007,1,2,20,21,27,51,60,2007-01-12
3-8-17-20-38-53,2010,1,3,8,17,20,38,53,2010-01-12
1-19-28-33-39-41,2012,1,1,19,28,33,39,41,2012-01-12
9-37-40-50-58-60,2010,2,9,37,40,50,58,60,2010-02-01
6-8-14-26-36-40,2013,2,6,8,14,26,36,40,2013-02-01
23-26-28-54-55-60,2014,2,23,26,28,54,55,60,2014-02-01
10-11-14-19-39-48,2016,2,10,11,14,19,39,48,2016-02-01
2-5-28-34-47-50,1997,2,2,5,28,34,47,50,1997-02-02
14-23-24-26-41-51,2002,2,14,23,24,26,41,51,2002-02-02
26-28-30-32-34-50,2005,2,26,28,30,32,34,50,2005-02-02
5-25-31-33-37-51,2008,2,5,25,31,33,37,51,2008-02-02
7-9-14-18-29-39,2011,2,7,9,14,18,29,39,2011-02-02
6-11-16-26-44-53,2013,2,6,11,16,26,44,53,2013-02-02
2-6-8-21-25-34,2016,2,2,6,8,21,25,34,2016-02-02
15-30-38-46-58-59,1997,2,15,30,38,46,58,59,1997-02-03
5-16-22-23-43-56,2002,2,5,16,22,23,43,56,2002-02-03
14-24-37-40-42-45,2005,2,14,24,37,40,42,45,2005-02-03
5-7-8-9-11-39,2011,2,5,7,8,9,11,39,2011-02-03
2-12-33-57-58-60,2013,2,2,12,33,57,58,60,2013-02-03
30-42-47-50-55-58,2016,2,30,42,47,50,55,58,2016-02-03
1-9-13-50-51-59,2003,2,1,9,13,50,51,59,2003-02-04
10-18-20-24-56-57,2005,2,10,18,20,24,56,57,2005-02-04
24-25-32-34-50-57,2008,2,24,25,32,34,50,57,2008-02-04
1-2-39-48-52-59,2011,2,1,2,39,48,52,59,2011-02-04
8-19-21-30-52-56,2014,2,8,19,21,30,52,56,2014-02-04
17-22-27-31-49-57,2016,2,17,22,27,31,49,57,2016-02-04
7-26-28-34-54-55,1998,2,7,26,28,34,54,55,1998-02-05
15-24-32-50-53-57,2007,2,15,24,32,50,53,57,2007-02-05
5-8-16-23-41-53,2009,2,5,8,16,23,41,53,2009-02-05
27-35-36-37-42-59,2012,2,27,35,36,37,42,59,2012-02-05
1-3-31-32-43-52,2013,2,1,3,31,32,43,52,2013-02-05
15-18-41-48-50-58,2015,2,15,18,41,48,50,58,2015-02-05
11-13-18-26-39-47,2001,2,11,13,18,26,39,47,2001-02-06
13-17-22-25-29-41,2004,2,13,17,22,25,29,41,2004-02-06
5-18-31-43-55-58,2007,2,5,18,31,43,55,58,2007-02-06
4-9-23-27-28-30,2010,2,4,9,23,27,28,30,2010-02-06
11-16-24-35-46-50,2012,2,11,16,24,35,46,50,2012-02-06
17-20-38-43-55-58,2003,2,17,20,38,43,55,58,2003-02-07
14-31-40-42-44-46,2005,2,14,31,40,42,44,46,2005-02-07
16-22-32-38-40-45,2008,2,16,22,32,38,40,45,2008-02-07
2-5-11-13-56-59,2011,2,2,5,11,13,56,59,2011-02-07
4-18-31-44-46-49,2014,2,4,18,31,44,46,49,2014-02-07
2-3-7-16-27-42,2016,2,2,3,7,16,27,42,2016-02-07
19-28-30-38-52-57,2003,2,19,28,30,38,52,57,2003-02-08
10-11-26-27-31-41,2006,2,10,11,26,27,31,41,2006-02-08
1-4-6-8-25-28,2008,2,1,4,6,8,25,28,2008-02-08
4-5-7-21-45-53,2014,2,4,5,7,21,45,53,2014-02-08
2-22-29-31-41-55,2000,2,2,22,29,31,41,55,2000-02-09
14-21-26-29-36-48,2006,2,14,21,26,29,36,48,2006-02-09
1-15-28-43-50-57,2009,2,1,15,28,43,50,57,2009-02-09
12-28-37-46-48-53,2015,2,12,28,37,46,48,53,2015-02-09
6-36-41-44-48-58,1999,2,6,36,41,44,48,58,1999-02-10
11-18-43-44-50-53,2002,2,11,18,43,44,50,53,2002-02-10
4-8-11-12-29-44,2004,2,4,8,11,12,29,44,2004-02-10
2-33-34-37-41-53,2010,2,2,33,34,37,41,53,2010-02-10
8-9-25-41-54-55,2013,2,8,9,25,41,54,55,2013-02-10
4-5-11-28-32-40,1997,2,4,5,11,28,32,40,1997-02-11
8-24-31-36-38-55,2002,2,8,24,31,36,38,55,2002-02-11
16-32-34-35-41-56,2000,2,16,32,34,35,41,56,2000-02-12
4-29-33-36-38-42,2006,2,4,29,33,36,38,42,2006-02-12
1-8-16-34-36-49,2009,2,1,8,16,34,36,49,2009-02-12
22-23-41-46-53-60,2015,2,22,23,41,46,53,60,2015-02-12
3-21-31-36-55-59,2004,3,3,21,31,36,55,59,2004-03-01
2-13-41-49-51-53,2007,3,2,13,41,49,51,53,2007-03-01
10-27-36-39-41-52,2009,3,10,27,36,39,41,52,2009-03-01
1-2-23-27-45-51,2015,3,1,2,23,27,45,51,2015-03-01
1-4-5-19-28-34,2001,3,1,4,5,19,28,34,2001-03-02
7-8-11-18-37-43,2007,3,7,8,11,18,37,43,2007-03-02
15-17-28-31-35-52,2010,3,15,17,28,31,35,52,2010-03-02
5-16-20-30-54-56,2001,3,5,16,20,30,54,56,2001-03-03
4-6-19-28-35-49,2004,3,4,6,19,28,35,49,2004-03-03
2-3-44-47-50-54,2007,3,2,3,44,47,50,54,2007-03-03
23-30-31-54-55-60,2010,3,23,30,31,54,55,60,2010-03-03
10-21-26-29-32-38,2012,3,10,21,26,29,32,38,2012-03-03
6-25-30-37-39-41,1999,3,6,25,30,37,39,41,1999-03-04
10-15-23-30-43-57,2002,3,10,15,23,30,43,57,2002-03-04
12-21-46-48-56-57,2004,3,12,21,46,48,56,57,2004-03-04
20-28-43-51-52-56,2010,3,20,28,43,51,52,56,2010-03-04
6-9-11-34-41-53,2013,3,6,9,11,34,41,53,2013-03-04
8-15-17-39-43-49,2003,3,8,15,17,39,43,49,2003-03-05
