estado,cidade,sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
mt,pedra preta,8-22-26-33-37-54,2013,1,8,22,26,33,37,54,2013-01-06
pr,araucária,8-12-32-44-46-48,2012,1,8,12,32,44,46,48,2012-01-08
sp,são paulo,19-31-39-44-53-59,2012,1,19,31,39,44,53,59,2012-01-09
rj,barra do piraí,2-6-18-23-31-46,2014,1,2,6,18,23,31,46,2014-01-10
rj,rio de janeiro,5-7-8-9-11-39,2011,2,5,7,8,9,11,39,2011-02-03
sp,itatiba,27-35-36-37-42-59,2012,2,27,35,36,37,42,59,2012-02-05
rj,cambuci,15-18-41-48-50-58,2015,2,15,18,41,48,50,58,2015-02-05
pr,terra roxa,1-15-28-43-50-57,2009,2,1,15,28,43,50,57,2009-02-09
pr,guaíra,12-28-37-46-48-53,2015,2,12,28,37,46,48,53,2015-02-09
pr,morretes,10-21-26-29-32-38,2012,3,10,21,26,29,32,38,2012-03-03
pr,curitiba,1-5-7-10-12-45,2014,3,1,5,7,10,12,45,2014-03-05
sp,indaiatuba,5-12-24-28-36-37,2009,3,5,12,24,28,36,37,2009-03-06
rj,teresópolis,17-18-30-35-39-58,2013,3,17,18,30,35,39,58,2013-03-07
se,lagarto,8-26-28-33-41-54,2016,3,8,26,28,33,41,54,2016-03-08
sp,vinhedo,8-13-25-34-42-48,2011,3,8,13,25,34,42,48,2011-03-09
sp,ribeirão preto,6-18-24-27-56-59,2014,3,6,18,24,27,56,59,2014-03-09
df,brasília,1-2-34-39-41-45,2016,3,1,2,34,39,41,45,2016-03-09
sp,itupeva,3-15-16-22-25-54,2009,3,3,15,16,22,25,54,2009-03-10
sp,itaí,6-33-34-48-53-59,2015,3,6,33,34,48,53,59,2015-03-10
rj,rio de janeiro,7-11-19-23-40-49,2014,3,7,11,19,23,40,49,2014-03-12
al,arapiraca,2-16-17-25-50-54,2012,4,2,16,17,25,50,54,2012-04-02
sp,jundiaí,3-18-34-35-36-56,2015,4,3,18,34,35,36,56,2015-04-02
sp,jundiaí,1-5-13-25-26-29,2016,4,1,5,13,25,26,29,2016-04-02
sp,santo andré,4-12-32-33-34-48,2015,4,4,12,32,33,34,48,2015-04-03
rj,rio de janeiro,2-5-12-13-25-35,2012,4,2,5,12,13,25,35,2012-04-04
sp,atibaia,1-3-8-13-27-52,2011,4,1,3,8,13,27,52,2011-04-06
es,colatina,6-8-24-37-41-45,2012,4,6,8,24,37,41,45,2012-04-08
rj,rio de janeiro,3-15-31-36-48-54,2010,4,3,15,31,36,48,54,2010-04-09
ro,seringueiras,5-18-21-26-39-59,2010,4,5,18,21,26,39,59,2010-04-12
pr,curitiba,22-23-34-48-53-54,2016,5,22,23,34,48,53,54,2016-05-03
mg,uberlândia,23-29-32-36-45-49,2014,5,23,29,32,36,45,49,2014-05-04
ba,ribeira do pombal,3-9-18-32-40-56,2015,5,3,9,18,32,40,56,2015-05-05
mt,cuiabá,8-11-25-39-41-60,2016,5,8,11,25,39,41,60,2016-05-05
sp,mirante do paranapanema,10-18-31-43-57-59,2013,5,10,18,31,43,57,59,2013-05-06
sp,são paulo,14-17-21-27-43-49,2014,5,14,17,21,27,43,49,2014-05-07
sp,santos,1-17-21-33-48-56,2009,5,1,17,21,33,48,56,2009-05-08
sp,caçapava,2-5-13-17-39-44,2012,5,2,5,13,17,39,44,2012-05-09
rj,rio de janeiro,4-6-13-34-37-51,2013,6,4,6,13,34,37,51,2013-06-02
ma,alto parnaíba,1-2-3-11-28-43,2013,6,1,2,3,11,28,43,2013-06-03
pr,mandaguari,14-15-30-53-55-60,2011,6,14,15,30,53,55,60,2011-06-07
mg,capitólio,2-17-22-24-48-51,2016,6,2,17,22,24,48,51,2016-06-07
mg,guanhães,7-10-32-43-47-54,2011,6,7,10,32,43,47,54,2011-06-08
